1. Residuos sólidos urbanos procedentes de València tratados según mes. 2022;
;
;Total
Total;272482.45999999996
Enero;22599.26
Febrero;20971.6
Marzo;24822.66
Abril;22262.18
Mayo;24873.12
Junio;23278.22
Julio;22338.3
Agosto;20302.56
Septiembre;22218.1
Octubre;22876.52
Noviembre;22299.34
Diciembre;23640.6
